loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.247,4.825274467468262,4.1844897959183675e-05,1.1428571428571428,1000,,,,,
1.8944,6.076233386993408,3.3681632653061224e-05,2.2857142857142856,2000,,,,,
1.574,7.746395587921143,2.5518367346938775e-05,3.4285714285714284,3000,,,,,
1.2685,9.328195571899414,1.7355102040816327e-05,4.571428571428571,4000,,,,,
1.0309,11.485247611999512,9.191836734693877e-06,5.714285714285714,5000,,,,,
0.8594,9.915091514587402,1.0285714285714286e-06,6.857142857142857,6000,,,,,
,,,7.0,6125,1622.5357,241.597,3.775,9333667580160000.0,1.4657997573541135
